Date;Open;High;Low;Close;Volume;Ticker;Industry;Time
10/02/2025 00:00;33;33.39400101;31.65999985;31.87000084;10918300;MRNA;Healthcare;Pos Quarter
11/02/2025 00:00;31.52000046;32.41999817;30.70000076;30.93000031;10088600;MRNA;Healthcare;Pos Quarter
12/02/2025 00:00;30.96999931;31.07999992;30.23999977;30.53499985;8356600;MRNA;Healthcare;0
13/02/2025 00:00;31;31.95999908;30.27000046;31.92000008;14719600;MRNA;Healthcare;0
14/02/2025 00:00;30.53000069;33.90999985;29.25;32.99000168;25327300;MRNA;Healthcare;0
18/02/2025 00:00;33.04999924;36.97999954;32.04199982;35.75;18951600;MRNA;Healthcare;0
19/02/2025 00:00;35.11000061;36.75;35.04999924;35.97999954;4513807;MRNA;Healthcare;0
21/01/2025 00:00;514.0499878;525;512.8200073;524.9899902;5682100;UNH;Healthcare;0
22/01/2025 00:00;521.6599731;524.4400024;516;519.7199707;3756100;UNH;Healthcare;0
23/01/2025 00:00;527.8699951;531.4799805;519.3200073;529.7700195;4580800;UNH;Healthcare;Pre Quarter
24/01/2025 00:00;528.1099854;534.6300049;524.5100098;532.5100098;3671200;UNH;Healthcare;Pre Quarter
27/01/2025 00:00;539.9799805;551.9099731;539.9799805;543.5200195;4263000;UNH;Healthcare;Pre Quarter
28/01/2025 00:00;543.0100098;546.5;537.8400269;542.4799805;3162700;UNH;Healthcare;Pre Quarter
29/01/2025 00:00;541.7299805;543.4799805;534.0100098;538.0999756;2737600;UNH;Healthcare;Pre Quarter
30/01/2025 00:00;539.4699707;547.1099854;535;545.5700073;2924700;UNH;Healthcare;Pre Quarter
31/01/2025 00:00;543.2399902;549.1599731;541.4099731;542.4899902;4120500;UNH;Healthcare;Pre Quarter
03/02/2025 00:00;542;553.9099731;541.0700073;548.1799927;4083600;UNH;Healthcare;Pos Quarter
04/02/2025 00:00;545.2000122;548.8099976;541.5100098;545.4500122;2869900;UNH;Healthcare;Pos Quarter
05/02/2025 00:00;530.7299805;540.7000122;521.9099731;539.8099976;4621600;UNH;Healthcare;Pos Quarter
06/02/2025 00:00;537.8900146;539.0999756;525.2700195;530.039978;3926800;UNH;Healthcare;Pos Quarter
07/02/2025 00:00;529.2000122;532.3900146;525.3900146;527.0300293;3349100;UNH;Healthcare;Pos Quarter
10/02/2025 00:00;527.6699829;534.1599731;523.3800049;533.3699951;3143100;UNH;Healthcare;Pos Quarter
11/02/2025 00:00;535;547.539978;528.2700195;533.9199829;2631900;UNH;Healthcare;Pos Quarter
12/02/2025 00:00;539.8499756;542.3499756;525.5100098;527.4000244;3859200;UNH;Healthcare;0
13/02/2025 00:00;530.9000244;534.3300171;527.0999756;531.1799927;2835100;UNH;Healthcare;0
14/02/2025 00:00;529;533.2000122;522.9099731;523.5100098;3705300;UNH;Healthcare;0
18/02/2025 00:00;510.9400024;516;497;500.730011;8754600;UNH;Healthcare;0
19/02/2025 00:00;501.3299866;506.2550049;498.1499939;503.3811951;1440399;UNH;Healthcare;0
21/01/2025 00:00;514.0499878;525;512.8200073;524.9899902;5682100;UNH;Healthcare;0
22/01/2025 00:00;521.6599731;524.4400024;516;519.7199707;3756100;UNH;Healthcare;0
23/01/2025 00:00;527.8699951;531.4799805;519.3200073;529.7700195;4580800;UNH;Healthcare;Pre Quarter
24/01/2025 00:00;528.1099854;534.6300049;524.5100098;532.5100098;3671200;UNH;Healthcare;Pre Quarter
27/01/2025 00:00;539.9799805;551.9099731;539.9799805;543.5200195;4263000;UNH;Healthcare;Pre Quarter
28/01/2025 00:00;543.0100098;546.5;537.8400269;542.4799805;3162700;UNH;Healthcare;Pre Quarter
29/01/2025 00:00;541.7299805;543.4799805;534.0100098;538.0999756;2737600;UNH;Healthcare;Pre Quarter
30/01/2025 00:00;539.4699707;547.1099854;535;545.5700073;2924700;UNH;Healthcare;Pre Quarter
31/01/2025 00:00;543.2399902;549.1599731;541.4099731;542.4899902;4120500;UNH;Healthcare;Pre Quarter
03/02/2025 00:00;542;553.9099731;541.0700073;548.1799927;4083600;UNH;Healthcare;Pos Quarter
04/02/2025 00:00;545.2000122;548.8099976;541.5100098;545.4500122;2869900;UNH;Healthcare;Pos Quarter
05/02/2025 00:00;530.7299805;540.7000122;521.9099731;539.8099976;4621600;UNH;Healthcare;Pos Quarter
06/02/2025 00:00;537.8900146;539.0999756;525.2700195;530.039978;3926800;UNH;Healthcare;Pos Quarter
07/02/2025 00:00;529.2000122;532.3900146;525.3900146;527.0300293;3349100;UNH;Healthcare;Pos Quarter
10/02/2025 00:00;527.6699829;534.1599731;523.3800049;533.3699951;3143100;UNH;Healthcare;Pos Quarter
11/02/2025 00:00;535;547.539978;528.2700195;533.9199829;2631900;UNH;Healthcare;Pos Quarter
12/02/2025 00:00;539.8499756;542.3499756;525.5100098;527.4000244;3859200;UNH;Healthcare;0
13/02/2025 00:00;530.9000244;534.3300171;527.0999756;531.1799927;2835100;UNH;Healthcare;0
14/02/2025 00:00;529;533.2000122;522.9099731;523.5100098;3705300;UNH;Healthcare;0
18/02/2025 00:00;510.9400024;516;497;500.730011;8754600;UNH;Healthcare;0
19/02/2025 00:00;501.3299866;506.2550049;498.1499939;503.3811951;1440399;UNH;Healthcare;0
21/01/2025 00:00;730.011861;742.0012074;725.280026;741.0727539;5122800;LLY;Healthcare;0
22/01/2025 00:00;744.2972282;759.0617597;737.778434;752.6827393;3737800;LLY;Healthcare;0
23/01/2025 00:00;746.3736501;765.2810669;742.9695437;765.2810669;3127200;LLY;Healthcare;Pre Quarter
24/01/2025 00:00;760.6390573;787.931984;759.1815474;784.0586548;4170600;LLY;Healthcare;Pre Quarter
27/01/2025 00:00;777.3702654;807.8577;777.3702654;806.779541;3915200;LLY;Healthcare;Pre Quarter
28/01/2025 00:00;805.8511705;814.7458754;798.7334324;803.6050415;2808800;LLY;Healthcare;Pre Quarter
29/01/2025 00:00;805.6015608;807.727901;797.6253173;802.6965942;1827600;LLY;Healthcare;Pre Quarter
30/01/2025 00:00;807.0190894;823.2012217;803.6149832;821.8135986;2643000;LLY;Healthcare;Pre Quarter
31/01/2025 00:00;821.5840451;825.9265367;809.6346685;809.6845703;2562600;LLY;Healthcare;Pre Quarter
03/02/2025 00:00;802.8862696;816.5527184;800.3705858;809.0356445;2808800;LLY;Healthcare;Pos Quarter
04/02/2025 00:00;809.6545653;827.6136035;804.5533717;824.6487427;4299700;LLY;Healthcare;Pos Quarter
05/02/2025 00:00;833.7131449;845.442929;829.630155;840.7310181;4578900;LLY;Healthcare;Pos Quarter
06/02/2025 00:00;838.0756591;886.2126693;834.172352;868.8725586;7138500;LLY;Healthcare;Pos Quarter
07/02/2025 00:00;875.0219833;887.8298658;868.1238376;876.7988892;4426100;LLY;Healthcare;Pos Quarter
10/02/2025 00:00;876.2198814;878.4859954;857.8914837;867.3851318;3065600;LLY;Healthcare;Pos Quarter
11/02/2025 00:00;865.5383164;872.685971;859.019522;863.5117798;1944200;LLY;Healthcare;Pos Quarter
12/02/2025 00:00;855.4556365;876.2698004;854.63704;871.4680176;2533400;LLY;Healthcare;0
13/02/2025 00:00;875.5610437;881.9799738;866.3069729;870.3599854;2472900;LLY;Healthcare;0
14/02/2025 00:00;869.0999756;873.5;841.4899902;844.2700195;3222300;LLY;Healthcare;0
18/02/2025 00:00;856.4199829;862.7299805;851.3599854;857.2000122;4288000;LLY;Healthcare;0
19/02/2025 00:00;857.1749878;881.3267822;859.1201172;876.2050171;1556754;LLY;Healthcare;0
21/01/2025 00:00;98.08000183;98.26999664;95.76000214;96.23999786;17756100;MRK;Healthcare;0
22/01/2025 00:00;95.95999908;97;95.15000153;95.68000031;13070900;MRK;Healthcare;0
23/01/2025 00:00;96.11000061;97.16000366;95.22000122;96.62999725;11522800;MRK;Healthcare;Pre Quarter
24/01/2025 00:00;96.79000092;97.09999847;95.41000366;95.55000305;12244800;MRK;Healthcare;Pre Quarter
27/01/2025 00:00;96.62999725;98.62000275;95.98000336;97.94000244;15093400;MRK;Healthcare;Pre Quarter
28/01/2025 00:00;97.34999847;98.87999725;96.58999634;97.44999695;12840900;MRK;Healthcare;Pre Quarter
29/01/2025 00:00;97.41999817;99.15000153;97.38999939;98.27999878;10225500;MRK;Healthcare;Pre Quarter
30/01/2025 00:00;99.41000366;99.41000366;98.23000336;98.94999695;10164700;MRK;Healthcare;Pre Quarter
